time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
18652,-1e-05,-4e-05,-1e-05,-1e-05,0.0,0.0,1e-05,-1e-05,0,15
2003,-3e-05,-3e-05,-3e-05,0.0,-5e-05,-2e-05,0.0,0.0,1,8
1679,-3e-05,-3e-05,-2e-05,-1e-05,-1e-05,1e-05,0.0,-1e-05,0,8
48834,0.0,0.0,-1e-05,0.0,0.0,0.0,-2e-05,-2e-05,0,35
11629,0.00102,-0.00035,4e-05,-1e-05,9e-05,-5e-05,-0.00012,0.0,3,3
48443,0.00016,0.00013,0.00013,0.00015,0.00052,0.00019,0.00013,0.00011,4,4
56122,-0.0003,-6e-05,-0.0001,-0.00019,-0.00016,-0.00028,0.00011,-0.00049,0,3
43021,0.0,1e-05,0.0,-3e-05,0.0,-0.00012,-2e-05,2e-05,0,20
1094,-1e-05,-4e-05,1e-05,-2e-05,-3e-05,-1e-05,-1e-05,-2e-05,0,18
22182,-1e-05,-1e-05,-1e-05,-4e-05,-2e-05,-1e-05,-1e-05,0.0,0,12
65891,1e-05,1e-05,-1e-05,1e-05,-1e-05,0.0,1e-05,0.0,0,2
41130,-0.00069,0.00031,-2e-05,-3e-05,-5e-05,-0.00025,0.00018,0.00012,0,23
9477,-0.00017,-8e-05,0.0,-0.00016,-0.00018,0.00025,0.00035,-0.00022,0,16
36627,-1e-05,-2e-05,3e-05,-2e-05,-3e-05,-8e-05,-4e-05,-2e-05,1,18
16478,-3e-05,-2e-05,-3e-05,6e-05,-0.00016,-8e-05,-4e-05,-4e-05,4,24
38239,-3e-05,0.0,4e-05,1e-05,-1e-05,1e-05,0.0,-2e-05,0,17
37071,-2e-05,0.0,0.0,6e-05,1e-05,0.0,1e-05,-2e-05,0,13
46575,0.00014,0.00015,6e-05,0.00036,0.00018,0.00036,-0.00021,3e-05,4,8
16388,-2e-05,0.0,-1e-05,-2e-05,0.00014,-2e-05,-1e-05,-2e-05,0,7
13924,9e-05,-2e-05,-3e-05,-0.00014,-0.00028,-4e-05,-0.00012,0.00041,3,7
46047,-5e-05,3e-05,0.0005,-0.00015,-0.00016,-0.00011,-7e-05,-6e-05,0,22
62249,0.0,0.0,-2e-05,-2e-05,-4e-05,-4e-05,-2e-05,0.0,0,2
33425,0.0,1e-05,0.0,-5e-05,-2e-05,-1e-05,-2e-05,1e-05,1,9
34278,-2e-05,0.0,-4e-05,-1e-05,1e-05,1e-05,2e-05,-1e-05,1,9
18478,7e-05,7e-05,-6e-05,-0.00051,-5e-05,-3e-05,-5e-05,-3e-05,5,14
25172,-0.00042,-7e-05,5e-05,9e-05,0.00025,-0.0006,4e-05,4e-05,6,3
28796,-1e-05,-5e-05,-4e-05,-1e-05,-2e-05,0.0,-1e-05,0.0,0,24
27245,0.00024,4e-05,1e-05,-1e-05,0.00021,-6e-05,0.0,8e-05,5,7
2592,-1e-05,-2e-05,-1e-05,-1e-05,-1e-05,1e-05,0.0,0.0,1,3
22785,0.00027,-4e-05,-4e-05,-7e-05,-7e-05,0.00015,-7e-05,7e-05,6,28
20519,7e-05,9e-05,9e-05,0.00038,0.00039,5e-05,1e-05,0.0,5,24
32594,-0.00018,-2e-05,4e-05,0.0002,0.00012,-2e-05,0.0001,-0.00019,2,34
45790,0.00041,-4e-05,1e-05,0.00019,2e-05,-8e-05,-1e-05,0.00053,6,31
19189,-0.0002,-0.0001,-0.0002,-0.00043,-0.0005,-8e-05,-5e-05,-7e-05,0,36
24158,-0.00025,-0.00025,-0.00027,0.00038,0.00071,-0.00128,-0.00056,-0.00029,0,12
73871,-0.00017,3e-05,7e-05,0.00011,0.00042,4e-05,-3e-05,5e-05,6,13
56681,-0.0001,-5e-05,-6e-05,-8e-05,-0.00025,-0.00044,-0.00011,-0.00051,0,23
63902,0.0002,5e-05,-1e-05,-0.00014,1e-05,-0.00022,-0.00025,2e-05,0,17
35650,-5e-05,0.0001,0.00017,0.00013,0.00012,-2e-05,0.00015,-1e-05,2,1
5631,0.00047,-4e-05,0.00015,0.00124,-2e-05,-0.00017,-0.0004,0.00052,0,26
37169,-1e-05,-2e-05,-1e-05,-0.00013,-0.0001,-6e-05,0.0,0.0,1,18
45415,-2e-05,-6e-05,-3e-05,0.00015,0.00016,8e-05,1e-05,-2e-05,4,4
62630,0.00014,3e-05,-3e-05,-0.00015,-0.00012,-2e-05,0.0,0.00012,0,7
55729,-0.00012,-0.00016,8e-05,5e-05,-9e-05,4e-05,1e-05,-1e-05,5,32
26117,-4e-05,2e-05,0.0,0.0,-0.0003,-0.00018,0.00015,0.00026,6,24
23763,-3e-05,-5e-05,-6e-05,-7e-05,-7e-05,-0.0003,-5e-05,-2e-05,0,33
37635,-2e-05,-2e-05,0.0,5e-05,1e-05,1e-05,-2e-05,1e-05,0,12
38118,0.00036,6e-05,2e-05,3e-05,0.00023,0.00015,-0.00012,-5e-05,3,26
459,-2e-05,-3e-05,2e-05,-3e-05,-2e-05,0.0,0.0,-1e-05,0,34
53634,6e-05,0.0,-0.00016,0.0008,0.00093,0.00031,0.00019,5e-05,5,23
51128,2e-05,6e-05,9e-05,3e-05,3e-05,-1e-05,1e-05,0.0,0,19
5645,3e-05,-8e-05,-0.0001,5e-05,-0.00014,-0.00021,-0.00017,-2e-05,2,4
39212,-1e-05,1e-05,3e-05,-1e-05,0.0,0.0,-1e-05,1e-05,0,10
26073,-1e-05,-2e-05,0.00012,0.0,-1e-05,-0.00019,-0.00015,2e-05,0,14
29691,-0.0008,-1e-05,-7e-05,-0.00022,-0.00058,-0.00089,-0.00034,-0.00011,0,8
1003,-1e-05,0.0,1e-05,1e-05,1e-05,3e-05,0.0,3e-05,0,16
64390,-3e-05,-3e-05,-3e-05,-3e-05,-3e-05,-6e-05,-4e-05,-1e-05,0,11
37720,4e-05,9e-05,0.00016,0.00035,-4e-05,0.0,1e-05,5e-05,0,22
7210,1e-05,-3e-05,6e-05,-6e-05,-0.0004,-0.00024,-0.00024,3e-05,2,26
42534,3e-05,7e-05,0.0,-0.00041,0.00014,6e-05,2e-05,2e-05,0,29
33656,-0.00024,-0.00013,-2e-05,0.00047,0.00015,-0.00067,-0.0004,-0.00043,6,20
11080,0.00012,8e-05,1e-05,-0.00011,-0.00031,-0.00014,-0.00026,-0.00021,0,19
54983,0.0,0.0,6e-05,3e-05,-3e-05,-1e-05,-1e-05,-1e-05,0,1
41624,0.00031,0.00021,0.00025,0.00017,0.00036,0.0,4e-05,0.00036,0,4
46649,-7e-05,-7e-05,-0.00015,0.00025,0.00071,-0.00017,-5e-05,-6e-05,0,26
53379,1e-05,4e-05,5e-05,2e-05,-1e-05,-1e-05,-1e-05,-1e-05,0,9
43666,0.00012,6e-05,0.00015,0.00021,-0.00044,-0.0001,-0.0001,3e-05,0,6
3493,1e-05,-1e-05,-2e-05,1e-05,-1e-05,0.0,-1e-05,0.0,1,29
38940,-0.00033,-0.00045,-7e-05,-0.00028,-0.00064,0.00035,0.00025,0.0003,3,25
9380,4e-05,-2e-05,-2e-05,-2e-05,-0.00012,-3e-05,-4e-05,3e-05,0,29
28401,0.0005,0.00012,0.00013,0.00022,0.00047,0.00087,0.00031,-0.00013,0,32
59216,-1e-05,-1e-05,-5e-05,3e-05,0.0,4e-05,1e-05,2e-05,0,2
9532,-2e-05,0.0,2e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,0,10
7149,0.0,-3e-05,-4e-05,-2e-05,-4e-05,0.0,2e-05,2e-05,0,5
43099,4e-05,-1e-05,6e-05,-3e-05,-0.00012,-4e-05,-1e-05,0.00027,0,7
2458,0.0,4e-05,3e-05,3e-05,0.0,-2e-05,-1e-05,0.0,1,10
43942,0.0,-3e-05,-1e-05,-3e-05,-0.0001,-6e-05,0.0,3e-05,0,31
48644,2e-05,0.00011,3e-05,-0.0001,-0.00054,-0.00043,-4e-05,-1e-05,5,15
35576,3e-05,-3e-05,-1e-05,0.0,1e-05,-3e-05,0.0,-1e-05,0,28
69981,0.00018,4e-05,1e-05,-2e-05,-0.0003,-0.00063,-0.00014,5e-05,0,30
6883,6e-05,-1e-05,2e-05,3e-05,0.00055,8e-05,-3e-05,-0.0001,0,21
50174,0.0,0.0,1e-05,3e-05,9e-05,-5e-05,1e-05,0.0,0,2
12221,0.00012,8e-05,4e-05,3e-05,-5e-05,-9e-05,-7e-05,0.00015,3,12
32694,-2e-05,0.0,-1e-05,-4e-05,0.00031,0.00018,0.00014,9e-05,0,2
27403,1e-05,6e-05,4e-05,6e-05,5e-05,0.00019,-2e-05,0.0,0,25
32573,0.00019,0.0001,0.0,-9e-05,0.00027,0.00017,-0.00046,0.00041,0,30
38257,1e-05,9e-05,0.00056,0.00127,0.00073,0.00028,0.0002,-0.0004,0,14
50215,-2e-05,-4e-05,-8e-05,-5e-05,-0.00012,-4e-05,-2e-05,1e-05,0,30
36455,0.00017,7e-05,0.00021,0.00041,0.00056,0.00033,0.00027,-0.00017,2,3
12986,2e-05,-3e-05,0.0,0.0003,0.00026,0.00014,-1e-05,1e-05,0,10
23068,4e-05,2e-05,-1e-05,0.00011,-0.00028,-6e-05,8e-05,6e-05,0,16
27249,0.0,1e-05,0.0,0.0,0.00043,2e-05,1e-05,1e-05,0,11
58316,-1e-05,-2e-05,1e-05,-1e-05,0.0,0.00011,-1e-05,-1e-05,0,20
45211,-3e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-3e-05,-3e-05,0,27
26702,2e-05,2e-05,7e-05,0.00016,-7e-05,-9e-05,-1e-05,0.0,0,9
45538,0.00013,0.00016,-2e-05,-1e-05,3e-05,0.00016,1e-05,3e-05,3,32
13268,2e-05,-0.00014,-0.0001,-0.00077,-0.00055,-0.00063,-0.00032,-0.00014,0,23
45140,-0.00013,-0.00012,-0.00012,-0.00024,0.0002,-0.00043,-0.00029,-0.00035,4,14
68775,-5e-05,-2e-05,-8e-05,-0.00023,-0.00048,-6e-05,-0.00015,-0.00022,0,30
41986,-1e-05,0.0,-2e-05,0.0001,-0.0005,0.0001,0.0,-1e-05,4,27
27717,2e-05,0.0,-2e-05,1e-05,2e-05,4e-05,-1e-05,2e-05,0,26
53122,-2e-05,-3e-05,1e-05,1e-05,-1e-05,0.0,-2e-05,-2e-05,0,1
38480,2e-05,5e-05,7e-05,3e-05,0.0,0.0,0.0,2e-05,0,3
